,Shark_sp,Deadly_act
815,undef. shark,diving
816,undef. shark,diving
817,undef. shark,surfing
818,undef. shark,fishing
819,white shark,sailing
820,undef. shark,fishing
821,undef. shark,fishing
822,undef. shark,sailing
823,undef. shark,sailing
824,hammerhead shark,surfing
825,undef. shark,surfing
826,undef. shark,surfing
827,undef. shark,surfing
828,white shark,sailing
829,reef shark,diving
830,undef. shark,undef. act
831,undef. shark,undef. act
832,undef. shark,swimming
833,undef. shark,fishing
834,undef. shark,surfing
835,undef. shark,swimming
836,undef. shark,swimming
837,bull shark,swimming
838,undef. shark,surfing
839,bull shark,fishing
840,undef. shark,surfing
841,undef. shark,surfing
842,white shark,swimming
843,undef. shark,surfing
844,white shark,surfing
845,nurse shark,diving
846,undef. shark,surfing
847,undef. shark,swimming
848,undef. shark,fishing
849,undef. shark,surfing
850,undef. shark,surfing
851,undef. shark,surfing
852,undef. shark,surfing
853,undef. shark,surfing
854,white shark,surfing
855,bull shark,fishing
856,undef. shark,sailing
857,undef. shark,surfing
858,undef. shark,surfing
859,undef. shark,swimming
860,undef. shark,diving
861,bull shark,diving
862,undef. shark,surfing
863,undef. shark,fishing
864,bull shark,swimming
865,undef. shark,undef. act
866,undef. shark,fishing
867,undef. shark,undef. act
868,undef. shark,swimming
869,undef. shark,swimming
870,undef. shark,swimming
871,undef. shark,fishing
872,undef. shark,surfing
873,white shark,surfing
874,white shark,swimming
875,white shark,sailing
876,undef. shark,swimming
877,tiger shark,surfing
878,bull shark,fishing
879,bull shark,fishing
880,undef. shark,surfing
881,undef. shark,swimming
882,undef. shark,undef. act
883,undef. shark,swimming
884,undef. shark,swimming
885,undef. shark,swimming
886,undef. shark,swimming
887,undef. shark,swimming
888,reef shark,fishing
889,undef. shark,surfing
890,undef. shark,surfing
891,undef. shark,sailing
892,nurse shark,swimming
893,undef. shark,surfing
894,undef. shark,surfing
895,undef. shark,undef. act
896,white shark,fishing
897,copper shark,diving
898,copper shark,diving
899,copper shark,diving
900,undef. shark,fishing
901,undef. shark,swimming
902,undef. shark,surfing
903,undef. shark,surfing
904,undef. shark,surfing
905,blacktip shark,fishing
906,undef. shark,fishing
907,undef. shark,undef. act
908,undef. shark,surfing
909,undef. shark,surfing
910,undef. shark,swimming
911,undef. shark,surfing
912,undef. shark,surfing
913,undef. shark,surfing
914,undef. shark,fishing
915,undef. shark,swimming
916,white shark,fishing
917,undef. shark,swimming
918,nurse shark,fishing
919,undef. shark,surfing
920,copper shark,surfing
921,undef. shark,surfing
922,undef. shark,surfing
923,undef. shark,surfing
924,reef shark,undef. act
925,undef. shark,swimming
926,undef. shark,swimming
927,undef. shark,surfing
928,undef. shark,fishing
929,undef. shark,fishing
930,undef. shark,surfing
931,undef. shark,fishing
932,undef. shark,surfing
933,white shark,surfing
934,bull shark,diving
935,undef. shark,undef. act
936,white shark,surfing
937,undef. shark,surfing
938,undef. shark,fishing
939,undef. shark,undef. act
940,bull shark,fishing
941,undef. shark,fishing
942,undef. shark,swimming
943,tiger shark,swimming
944,undef. shark,swimming
945,white shark,fishing
946,undef. shark,surfing
947,undef. shark,undef. act
948,undef. shark,diving
949,white shark,surfing
950,white shark,surfing
951,mako shark,fishing
952,undef. shark,surfing
953,undef. shark,swimming
954,bull shark,fishing
955,undef. shark,undef. act
956,undef. shark,undef. act
957,undef. shark,sailing
958,white shark,surfing
959,white shark,diving
960,white shark,surfing
961,copper shark,fishing
962,nurse shark,fishing
963,white shark,fishing
964,bull shark,fishing
965,copper shark,diving
966,undef. shark,sailing
967,undef. shark,undef. act
968,copper shark,fishing
969,undef. shark,fishing
970,undef. shark,fishing
971,nurse shark,diving
972,undef. shark,fishing
973,reef shark,fishing
974,undef. shark,surfing
975,undef. shark,fishing
976,white shark,fishing
977,undef. shark,surfing
978,undef. shark,surfing
979,copper shark,swimming
980,undef. shark,swimming
981,tiger shark,surfing
982,white shark,surfing
983,undef. shark,surfing
984,undef. shark,surfing
985,undef. shark,surfing
986,undef. shark,surfing
987,undef. shark,surfing
988,undef. shark,surfing
989,undef. shark,swimming
990,undef. shark,fishing
991,undef. shark,surfing
992,undef. shark,surfing
993,undef. shark,swimming
994,undef. shark,surfing
